img_id,class_name,binary_label,mode,whole_score,patch_evidence,fused_score,patch_available,num_patches,forward_passes,reused_scores,coverage,patch_seconds,whole_seconds,total_seconds,peak_memory_mb,decision_whole,decision_fused,decision_changed
tampered_08645,tampered,1,coarse,0.155969,0.043902,0.127952,True,4,4,0,0.25,1.9769,0.5469,2.5238,2105.044736,0,0,0
tampered_08645,tampered,1,full,0.155969,0.179888,0.161948,True,12,12,0,0.664062,5.8535,0.5469,6.4004,2105.044736,0,0,0
tampered_08645,tampered,1,top_k,0.155969,0.069616,0.13438,True,12,12,0,0.25,6.0399,0.5469,6.5868,2105.044736,0,0,0
tampered_08645,tampered,1,uncertain_only,0.155969,,0.155969,False,0,0,0,,0.0,0.5469,0.5469,,0,0,0
tampered_005250,tampered,1,off,0.423349,,0.423349,False,0,0,0,,0.0,0.5731,0.5731,,1,1,0
tampered_005250,tampered,1,coarse,0.423349,0.058987,0.332259,True,4,4,0,0.25,1.9878,0.5731,2.5609,2105.044736,1,0,1
tampered_005250,tampered,1,full,0.423349,0.131642,0.350422,True,12,12,0,0.664062,6.1011,0.5731,6.6742,2105.044736,1,0,1
tampered_005250,tampered,1,top_k,0.423349,0.082629,0.338169,True,12,12,0,0.25,6.1181,0.5731,6.6912,2105.044736,1,0,1
tampered_005250,tampered,1,uncertain_only,0.423349,0.131642,0.350422,True,12,12,0,0.664062,6.0245,0.5731,6.5976,2105.044736,1,0,1
tampered_02533,tampered,1,off,0.137567,,0.137567,False,0,0,0,,0.0,0.7241,0.7241,,0,0,0
tampered_02533,tampered,1,coarse,0.137567,0.0417,0.1136,True,4,4,0,0.25,1.9779,0.7241,2.702,2105.044736,0,0,0
tampered_02533,tampered,1,full,0.137567,0.075671,0.122093,True,12,12,0,0.664062,5.8741,0.7241,6.5982,2105.044736,0,0,0
tampered_02533,tampered,1,top_k,0.137567,0.055243,0.116986,True,12,12,0,0.25,6.5049,0.7241,7.229,2105.044736,0,0,0
tampered_02533,tampered,1,uncertain_only,0.137567,,0.137567,False,0,0,0,,0.0002,0.7241,0.7243,,0,0,0
d953914a018b80ad,real,0,off,0.803063,,0.803063,False,0,0,0,,0.0,0.7755,0.7755,,1,1,0
d953914a018b80ad,real,0,coarse,0.803063,0.702823,0.778003,True,4,4,0,0.266389,2.0717,0.7755,2.8472,2105.044736,1,1,0
d953914a018b80ad,real,0,full,0.803063,0.834386,0.810894,True,12,12,0,0.703499,5.9015,0.7755,6.677,2105.044736,1,1,0
d953914a018b80ad,real,0,top_k,0.803063,0.900416,0.827401,True,12,12,0,0.266389,5.9646,0.7755,6.7401,2105.044736,1,1,0
d953914a018b80ad,real,0,uncertain_only,0.803063,,0.803063,False,0,0,0,,0.0,0.7755,0.7755,,1,1,0
9a99796dffaaa7d3,real,0,off,0.008879,,0.008879,False,0,0,0,,0.0,0.5399,0.5399,,0,0,0
9a99796dffaaa7d3,real,0,coarse,0.008879,0.081422,0.027015,True,4,4,0,0.337432,1.955,0.5399,2.4949,2105.044736,0,0,0
9a99796dffaaa7d3,real,0,full,0.008879,0.218596,0.061309,True,12,12,0,0.764686,5.7653,0.5399,6.3052,2105.044736,0,0,0
9a99796dffaaa7d3,real,0,top_k,0.008879,0.246105,0.068186,True,12,12,0,0.337432,5.8779,0.5399,6.4178,2105.044736,0,0,0
9a99796dffaaa7d3,real,0,uncertain_only,0.008879,,0.008879,False,0,0,0,,0.0,0.5399,0.5399,,0,0,0
full_synthetic_002764,full_synthetic,1,off,0.997996,,0.997996,False,0,0,0,,0.0,0.5615,0.5615,,1,1,0
full_synthetic_002764,full_synthetic,1,coarse,0.997996,0.991712,0.996425,True,4,4,0,0.25,1.9672,0.5615,2.5287,2105.044736,1,1,0
full_synthetic_002764,full_synthetic,1,full,0.997996,0.994037,0.997006,True,12,12,0,0.664062,5.8014,0.5615,6.3629,2105.044736,1,1,0
full_synthetic_002764,full_synthetic,1,top_k,0.997996,0.991937,0.996481,True,12,12,0,0.25,5.9111,0.5615,6.4725,2105.044736,1,1,0
full_synthetic_002764,full_synthetic,1,uncertain_only,0.997996,,0.997996,False,0,0,0,,0.0,0.5615,0.5615,,1,1,0
8bd5cae6314172b9,real,0,off,0.005702,,0.005702,False,0,0,0,,0.0,0.5674,0.5674,,0,0,0
8bd5cae6314172b9,real,0,coarse,0.005702,0.001718,0.004706,True,4,4,0,0.347859,1.9737,0.5674,2.5411,2105.044736,0,0,0
8bd5cae6314172b9,real,0,full,0.005702,0.005054,0.00554,True,12,12,0,0.7888,5.6837,0.5674,6.2511,2105.044736,0,0,0
8bd5cae6314172b9,real,0,top_k,0.005702,0.063846,0.020238,True,12,12,0,0.347859,5.9623,0.5674,6.5297,2105.044736,0,0,0
8bd5cae6314172b9,real,0,uncertain_only,0.005702,,0.005702,False,0,0,0,,0.0,0.5674,0.5674,,0,0,0
42e7a4cbf61fd493,real,0,off,0.0144,,0.0144,False,0,0,0,,0.0,0.7756,0.7756,,0,0,0
42e7a4cbf61fd493,real,0,coarse,0.0144,0.05975,0.025738,True,4,4,0,0.25,1.9565,0.7756,2.7321,2105.044736,0,0,0
42e7a4cbf61fd493,real,0,full,0.0144,0.0793,0.030625,True,12,12,0,0.664062,5.8535,0.7756,6.6291,2105.044736,0,0,0
42e7a4cbf61fd493,real,0,top_k,0.0144,0.536725,0.144981,True,12,12,0,0.25,6.1003,0.7756,6.8759,2105.044736,0,0,0
42e7a4cbf61fd493,real,0,uncertain_only,0.0144,,0.0144,False,0,0,0,,0.0,0.7756,0.7756,,0,0,0
full_synthetic_007473,full_synthetic,1,off,0.999208,,0.999208,False,0,0,0,,0.0,0.5739,0.5739,,1,1,0
full_synthetic_007473,full_synthetic,1,coarse,0.999208,0.990964,0.997147,True,4,4,0,0.25,1.9286,0.5739,2.5025,2105.044736,1,1,0
full_synthetic_007473,full_synthetic,1,full,0.999208,0.996285,0.998477,True,12,12,0,0.664062,5.8828,0.5739,6.4567,2105.044736,1,1,0
full_synthetic_007473,full_synthetic,1,top_k,0.999208,0.994314,0.997985,True,12,12,0,0.25,6.1111,0.5739,6.6849,2105.044736,1,1,0
full_synthetic_007473,full_synthetic,1,uncertain_only,0.999208,,0.999208,False,0,0,0,,0.0,0.5739,0.5739,,1,1,0
full_synthetic_000702,full_synthetic,1,off,0.998964,,0.998964,False,0,0,0,,0.0,0.5381,0.5381,,1,1,0
full_synthetic_000702,full_synthetic,1,coarse,0.998964,0.975127,0.993004,True,4,4,0,0.25,1.9228,0.5381,2.4609,2105.044736,1,1,0
full_synthetic_000702,full_synthetic,1,full,0.998964,0.991162,0.997013,True,12,12,0,0.664062,5.7192,0.5381,6.2573,2105.044736,1,1,0
full_synthetic_000702,full_synthetic,1,top_k,0.998964,0.975127,0.993004,True,12,12,0,0.25,5.8689,0.5381,6.4069,2105.044736,1,1,0
full_synthetic_000702,full_synthetic,1,uncertain_only,0.998964,,0.998964,False,0,0,0,,0.0,0.5381,0.5381,,1,1,0
full_synthetic_001094,full_synthetic,1,off,0.998868,,0.998868,False,0,0,0,,0.0,0.5326,0.5326,,1,1,0
full_synthetic_001094,full_synthetic,1,coarse,0.998868,0.987288,0.995973,True,4,4,0,0.25,1.9313,0.5326,2.4638,2105.044736,1,1,0
full_synthetic_001094,full_synthetic,1,full,0.998868,0.995218,0.997956,True,12,12,0,0.664062,5.6992,0.5326,6.2317,2105.044736,1,1,0
full_synthetic_001094,full_synthetic,1,top_k,0.998868,0.987288,0.995973,True,12,12,0,0.25,5.7814,0.5326,6.314,2105.044736,1,1,0
full_synthetic_001094,full_synthetic,1,uncertain_only,0.998868,,0.998868,False,0,0,0,,0.0,0.5326,0.5326,,1,1,0
2220f1ab609f0843,real,0,off,0.033978,,0.033978,False,0,0,0,,0.0,0.5275,0.5275,,0,0,0
2220f1ab609f0843,real,0,coarse,0.033978,0.038383,0.035079,True,4,4,0,0.333333,1.9345,0.5275,2.462,2105.044736,0,0,0
2220f1ab609f0843,real,0,full,0.033978,0.119066,0.05525,True,12,12,0,0.755208,5.6472,0.5275,6.1747,2105.044736,0,0,0
2220f1ab609f0843,real,0,top_k,0.033978,0.116093,0.054507,True,12,12,0,0.333333,5.8156,0.5275,6.343,2105.044736,0,0,0
2220f1ab609f0843,real,0,uncertain_only,0.033978,,0.033978,False,0,0,0,,0.0,0.5275,0.5275,,0,0,0
tampered_06229,tampered,1,off,0.02262,,0.02262,False,0,0,0,,0.0,0.5302,0.5302,,0,0,0
tampered_06229,tampered,1,coarse,0.02262,0.046423,0.02857,True,4,4,0,0.25,1.9098,0.5302,2.4399,2105.044736,0,0,0
tampered_06229,tampered,1,full,0.02262,0.060834,0.032173,True,12,12,0,0.664062,5.6308,0.5302,6.161,2105.044736,0,0,0
tampered_06229,tampered,1,top_k,0.02262,0.130961,0.049705,True,12,12,0,0.25,5.7397,0.5302,6.2699,2105.044736,0,0,0
tampered_06229,tampered,1,uncertain_only,0.02262,,0.02262,False,0,0,0,,0.0,0.5302,0.5302,,0,0,0
76bb9873db655e13,real,0,off,0.044223,,0.044223,False,0,0,0,,0.0,0.5269,0.5269,,0,0,0
76bb9873db655e13,real,0,coarse,0.044223,0.083066,0.053934,True,4,4,0,0.333333,1.9028,0.5269,2.4297,2105.044736,0,0,0
76bb9873db655e13,real,0,full,0.044223,0.169921,0.075647,True,12,12,0,0.791667,5.5931,0.5269,6.12,2105.044736,0,0,0
76bb9873db655e13,real,0,top_k,0.044223,0.173644,0.076578,True,12,12,0,0.333333,5.7339,0.5269,6.2608,2105.044736,0,0,0
76bb9873db655e13,real,0,uncertain_only,0.044223,,0.044223,False,0,0,0,,0.0,0.5269,0.5269,,0,0,0
1034c6557e9fb8c1,real,0,off,0.008417,,0.008417,False,0,0,0,,0.0,0.5242,0.5242,,0,0,0
1034c6557e9fb8c1,real,0,coarse,0.008417,0.0181,0.010838,True,4,4,0,0.333333,1.8982,0.5242,2.4224,2105.044736,0,0,0
1034c6557e9fb8c1,real,0,full,0.008417,0.020035,0.011322,True,12,12,0,0.755208,5.6357,0.5242,6.1599,2105.044736,0,0,0
1034c6557e9fb8c1,real,0,top_k,0.008417,0.029838,0.013773,True,12,12,0,0.333333,5.7787,0.5242,6.3029,2105.044736,0,0,0
1034c6557e9fb8c1,real,0,uncertain_only,0.008417,,0.008417,False,0,0,0,,0.0,0.5242,0.5242,,0,0,0
tampered_05143,tampered,1,off,0.025145,,0.025145,False,0,0,0,,0.0,0.5246,0.5246,,0,0,0
tampered_05143,tampered,1,coarse,0.025145,0.299716,0.093788,True,4,4,0,0.25,1.9008,0.5246,2.4254,2105.044736,0,0,0
tampered_05143,tampered,1,full,0.025145,0.314212,0.097412,True,12,12,0,0.664062,5.6606,0.5246,6.1851,2105.044736,0,0,0
tampered_05143,tampered,1,top_k,0.025145,0.63722,0.178164,True,12,12,0,0.25,5.8284,0.5246,6.3529,2105.044736,0,0,0
tampered_05143,tampered,1,uncertain_only,0.025145,,0.025145,False,0,0,0,,0.0,0.5246,0.5246,,0,0,0
full_synthetic_004989,full_synthetic,1,off,0.999486,,0.999486,False,0,0,0,,0.0,0.5388,0.5388,,1,1,0
full_synthetic_004989,full_synthetic,1,coarse,0.999486,0.987421,0.99647,True,4,4,0,0.25,1.9074,0.5388,2.4463,2105.044736,1,1,0
full_synthetic_004989,full_synthetic,1,full,0.999486,0.996557,0.998754,True,12,12,0,0.664062,5.6342,0.5388,6.1731,2105.044736,1,1,0
full_synthetic_004989,full_synthetic,1,top_k,0.999486,0.99039,0.997212,True,12,12,0,0.25,5.6897,0.5388,6.2285,2105.044736,1,1,0
full_synthetic_004989,full_synthetic,1,uncertain_only,0.999486,,0.999486,False,0,0,0,,0.0,0.5388,0.5388,,1,1,0
full_synthetic_001311,full_synthetic,1,off,0.999533,,0.999533,False,0,0,0,,0.0,0.5246,0.5246,,1,1,0
full_synthetic_001311,full_synthetic,1,coarse,0.999533,0.9973,0.998975,True,4,4,0,0.25,1.9001,0.5246,2.4247,2105.044736,1,1,0
full_synthetic_001311,full_synthetic,1,full,0.999533,0.998,0.99915,True,12,12,0,0.664062,5.6208,0.5246,6.1454,2105.044736,1,1,0
full_synthetic_001311,full_synthetic,1,top_k,0.999533,0.9973,0.998975,True,12,12,0,0.25,5.6781,0.5246,6.2027,2105.044736,1,1,0
full_synthetic_001311,full_synthetic,1,uncertain_only,0.999533,,0.999533,False,0,0,0,,0.0,0.5246,0.5246,,1,1,0
f2b02fe7b2ddcb9c,real,0,off,0.086742,,0.086742,False,0,0,0,,0.0,0.5411,0.5411,,0,0,0
f2b02fe7b2ddcb9c,real,0,coarse,0.086742,0.133799,0.098506,True,4,4,0,0.376471,1.9437,0.5411,2.4848,2105.044736,0,0,0
f2b02fe7b2ddcb9c,real,0,full,0.086742,0.577953,0.209545,True,12,12,0,0.834559,5.6488,0.5411,6.1899,2105.044736,0,0,0
f2b02fe7b2ddcb9c,real,0,top_k,0.086742,0.336052,0.149069,True,12,12,0,0.376471,5.8619,0.5411,6.403,2105.044736,0,0,0
f2b02fe7b2ddcb9c,real,0,uncertain_only,0.086742,,0.086742,False,0,0,0,,0.0,0.5411,0.5411,,0,0,0
tampered_02480,tampered,1,off,0.989865,,0.989865,False,0,0,0,,0.0,0.5262,0.5262,,1,1,0
tampered_02480,tampered,1,coarse,0.989865,0.964616,0.983552,True,4,4,0,0.25,1.9388,0.5262,2.465,2105.044736,1,1,0
tampered_02480,tampered,1,full,0.989865,0.967098,0.984173,True,12,12,0,0.664062,5.6991,0.5262,6.2253,2105.044736,1,1,0
tampered_02480,tampered,1,top_k,0.989865,0.964616,0.983552,True,12,12,0,0.25,5.8819,0.5262,6.4081,2105.044736,1,1,0
tampered_02480,tampered,1,uncertain_only,0.989865,,0.989865,False,0,0,0,,0.0,0.5262,0.5262,,1,1,0
full_synthetic_000008,full_synthetic,1,off,0.986433,,0.986433,False,0,0,0,,0.0,0.5393,0.5393,,1,1,0
full_synthetic_000008,full_synthetic,1,coarse,0.986433,0.802628,0.940482,True,4,4,0,0.25,1.8944,0.5393,2.4338,2105.044736,1,1,0
full_synthetic_000008,full_synthetic,1,full,0.986433,0.950153,0.977363,True,12,12,0,0.664062,5.6317,0.5393,6.1711,2105.044736,1,1,0
full_synthetic_000008,full_synthetic,1,top_k,0.986433,0.909117,0.967104,True,12,12,0,0.25,5.7681,0.5393,6.3074,2105.044736,1,1,0
full_synthetic_000008,full_synthetic,1,uncertain_only,0.986433,,0.986433,False,0,0,0,,0.0,0.5393,0.5394,,1,1,0
9e65133332e72eb0,real,0,off,0.00053,,0.00053,False,0,0,0,,0.0,0.5267,0.5267,,0,0,0
9e65133332e72eb0,real,0,coarse,0.00053,0.050539,0.013032,True,4,4,0,0.333333,1.9112,0.5267,2.4379,2105.044736,0,0,0
9e65133332e72eb0,real,0,full,0.00053,0.097634,0.024806,True,12,12,0,0.755208,5.6066,0.5267,6.1333,2105.044736,0,0,0
9e65133332e72eb0,real,0,top_k,0.00053,0.292393,0.073496,True,12,12,0,0.333333,5.6882,0.5267,6.215,2105.044736,0,0,0
9e65133332e72eb0,real,0,uncertain_only,0.00053,,0.00053,False,0,0,0,,0.0,0.5267,0.5268,,0,0,0
tampered_03478,tampered,1,off,0.0174,,0.0174,False,0,0,0,,0.0,0.5402,0.5402,,0,0,0
tampered_03478,tampered,1,coarse,0.0174,0.293803,0.086501,True,4,4,0,0.25,1.9063,0.5402,2.4465,2105.044736,0,0,0
tampered_03478,tampered,1,full,0.0174,0.15966,0.052965,True,12,12,0,0.664062,5.6088,0.5402,6.149,2105.044736,0,0,0
tampered_03478,tampered,1,top_k,0.0174,0.364478,0.10417,True,12,12,0,0.25,5.6289,0.5402,6.1691,2105.044736,0,0,0
tampered_03478,tampered,1,uncertain_only,0.0174,,0.0174,False,0,0,0,,0.0,0.5402,0.5402,,0,0,0
tampered_006763,tampered,1,off,0.074899,,0.074899,False,0,0,0,,0.0,0.5208,0.5208,,0,0,0
tampered_006763,tampered,1,coarse,0.074899,0.026752,0.062863,True,4,4,0,0.25,1.9077,0.5208,2.4285,2105.044736,0,0,0
tampered_006763,tampered,1,full,0.074899,0.036118,0.065204,True,12,12,0,0.664062,5.6363,0.5208,6.1571,2105.044736,0,0,0
tampered_006763,tampered,1,top_k,0.074899,0.038207,0.065726,True,12,12,0,0.25,5.85,0.5208,6.3708,2105.044736,0,0,0
tampered_006763,tampered,1,uncertain_only,0.074899,,0.074899,False,0,0,0,,0.0,0.5208,0.5208,,0,0,0
ed392911fea257be,real,0,off,0.013786,,0.013786,False,0,0,0,,0.0,0.5337,0.5337,,0,0,0
ed392911fea257be,real,0,coarse,0.013786,0.118335,0.039923,True,4,4,0,0.333333,1.9243,0.5337,2.4579,2105.044736,0,0,0
ed392911fea257be,real,0,full,0.013786,0.170112,0.052868,True,12,12,0,0.791667,5.5715,0.5337,6.1052,2105.044736,0,0,0
ed392911fea257be,real,0,top_k,0.013786,0.202202,0.06089,True,12,12,0,0.333333,5.8343,0.5337,6.3679,2105.044736,0,0,0
ed392911fea257be,real,0,uncertain_only,0.013786,,0.013786,False,0,0,0,,0.0,0.5337,0.5337,,0,0,0
full_synthetic_000882,full_synthetic,1,off,0.998761,,0.998761,False,0,0,0,,0.0,0.5248,0.5248,,1,1,0
full_synthetic_000882,full_synthetic,1,coarse,0.998761,0.993226,0.997377,True,4,4,0,0.25,1.9103,0.5248,2.4351,2105.044736,1,1,0
full_synthetic_000882,full_synthetic,1,full,0.998761,0.99822,0.998626,True,12,12,0,0.664062,5.6344,0.5248,6.1592,2105.044736,1,1,0
full_synthetic_000882,full_synthetic,1,top_k,0.998761,0.993226,0.997377,True,12,12,0,0.25,5.6971,0.5248,6.2219,2105.044736,1,1,0
full_synthetic_000882,full_synthetic,1,uncertain_only,0.998761,,0.998761,False,0,0,0,,0.0,0.5248,0.5248,,1,1,0
tampered_08180,tampered,1,off,0.017925,,0.017925,False,0,0,0,,0.0,0.5311,0.5311,,0,0,0
tampered_08180,tampered,1,coarse,0.017925,0.069448,0.030805,True,4,4,0,0.25,1.9189,0.5311,2.45,2105.044736,0,0,0
tampered_08180,tampered,1,full,0.017925,0.032346,0.02153,True,12,12,0,0.664062,5.7151,0.5311,6.2463,2105.044736,0,0,0
tampered_08180,tampered,1,top_k,0.017925,0.182801,0.059144,True,12,12,0,0.25,5.8894,0.5311,6.4206,2105.044736,0,0,0
tampered_08180,tampered,1,uncertain_only,0.017925,,0.017925,False,0,0,0,,0.0,0.5311,0.5311,,0,0,0
full_synthetic_001209,full_synthetic,1,off,0.999677,,0.999677,False,0,0,0,,0.0,0.5488,0.5489,,1,1,0
full_synthetic_001209,full_synthetic,1,coarse,0.999677,0.995553,0.998646,True,4,4,0,0.25,1.9177,0.5488,2.4666,2105.044736,1,1,0
full_synthetic_001209,full_synthetic,1,full,0.999677,0.999077,0.999527,True,12,12,0,0.664062,5.687,0.5488,6.2359,2105.044736,1,1,0
full_synthetic_001209,full_synthetic,1,top_k,0.999677,0.99734,0.999093,True,12,12,0,0.25,5.8745,0.5488,6.4234,2105.044736,1,1,0
full_synthetic_001209,full_synthetic,1,uncertain_only,0.999677,,0.999677,False,0,0,0,,0.0,0.5488,0.5489,,1,1,0
add5fb52ea5901cd,real,0,off,0.027439,,0.027439,False,0,0,0,,0.0,0.5399,0.54,,0,0,0
add5fb52ea5901cd,real,0,coarse,0.027439,0.209316,0.072908,True,4,4,0,0.337432,1.9346,0.5399,2.4745,2105.044736,0,0,0
add5fb52ea5901cd,real,0,full,0.027439,0.44014,0.130614,True,12,12,0,0.764686,5.7029,0.5399,6.2429,2105.044736,0,0,0
add5fb52ea5901cd,real,0,top_k,0.027439,0.330862,0.103295,True,12,12,0,0.337432,5.8432,0.5399,6.3832,2105.044736,0,0,0
add5fb52ea5901cd,real,0,uncertain_only,0.027439,,0.027439,False,0,0,0,,0.0,0.5399,0.54,,0,0,0
full_synthetic_007794,full_synthetic,1,off,0.998118,,0.998118,False,0,0,0,,0.0,0.5407,0.5407,,1,1,0
full_synthetic_007794,full_synthetic,1,coarse,0.998118,0.974489,0.992211,True,4,4,0,0.25,1.922,0.5407,2.4627,2105.044736,1,1,0
full_synthetic_007794,full_synthetic,1,full,0.998118,0.991676,0.996508,True,12,12,0,0.664062,5.6349,0.5407,6.1756,2105.044736,1,1,0
full_synthetic_007794,full_synthetic,1,top_k,0.998118,0.974489,0.992211,True,12,12,0,0.25,5.8367,0.5407,6.3774,2105.044736,1,1,0
full_synthetic_007794,full_synthetic,1,uncertain_only,0.998118,,0.998118,False,0,0,0,,0.0,0.5407,0.5407,,1,1,0
03037a6766b93185,real,0,off,0.204706,,0.204706,False,0,0,0,,0.0,0.5498,0.5498,,0,0,0
03037a6766b93185,real,0,coarse,0.204706,0.097737,0.177964,True,4,4,0,0.346096,1.9077,0.5498,2.4575,2105.044736,0,0,0
03037a6766b93185,real,0,full,0.204706,0.168462,0.195645,True,12,12,0,0.784722,5.6519,0.5498,6.2016,2105.044736,0,0,0
03037a6766b93185,real,0,top_k,0.204706,0.116557,0.182669,True,12,12,0,0.346096,5.7207,0.5498,6.2705,2105.044736,0,0,0
03037a6766b93185,real,0,uncertain_only,0.204706,0.168462,0.195645,True,12,12,0,0.784722,5.6564,0.5498,6.2062,2105.044736,0,0,0
full_synthetic_008801,full_synthetic,1,off,0.998672,,0.998672,False,0,0,0,,0.0,0.6165,0.6165,,1,1,0
full_synthetic_008801,full_synthetic,1,coarse,0.998672,0.971648,0.991916,True,4,4,0,0.25,1.9106,0.6165,2.5271,2105.044736,1,1,0
full_synthetic_008801,full_synthetic,1,full,0.998672,0.992819,0.997208,True,12,12,0,0.664062,5.657,0.6165,6.2735,2105.044736,1,1,0
full_synthetic_008801,full_synthetic,1,top_k,0.998672,0.971648,0.991916,True,12,12,0,0.25,5.8489,0.6165,6.4654,2105.044736,1,1,0
full_synthetic_008801,full_synthetic,1,uncertain_only,0.998672,,0.998672,False,0,0,0,,0.0,0.6165,0.6165,,1,1,0
tampered_00809,tampered,1,off,0.596899,,0.596899,False,0,0,0,,0.0,0.5364,0.5364,,1,1,0
tampered_00809,tampered,1,coarse,0.596899,0.477248,0.566986,True,4,4,0,0.25,1.9142,0.5364,2.4506,2105.044736,1,1,0
tampered_00809,tampered,1,full,0.596899,0.963129,0.688456,True,12,12,0,0.664062,5.7088,0.5364,6.2451,2105.044736,1,1,0
tampered_00809,tampered,1,top_k,0.596899,0.614599,0.601324,True,12,12,0,0.25,5.9046,0.5364,6.441,2105.044736,1,1,0
tampered_00809,tampered,1,uncertain_only,0.596899,0.963129,0.688456,True,12,12,0,0.664062,5.7,0.5364,6.2364,2105.044736,1,1,0
full_synthetic_005299,full_synthetic,1,off,0.998584,,0.998584,False,0,0,0,,0.0,0.6302,0.6302,,1,1,0
full_synthetic_005299,full_synthetic,1,coarse,0.998584,0.995781,0.997883,True,4,4,0,0.25,1.9114,0.6302,2.5416,2105.044736,1,1,0
full_synthetic_005299,full_synthetic,1,full,0.998584,0.997279,0.998257,True,12,12,0,0.664062,5.6521,0.6302,6.2823,2105.044736,1,1,0
full_synthetic_005299,full_synthetic,1,top_k,0.998584,0.997124,0.998219,True,12,12,0,0.25,5.7042,0.6302,6.3344,2105.044736,1,1,0
full_synthetic_005299,full_synthetic,1,uncertain_only,0.998584,,0.998584,False,0,0,0,,0.0,0.6302,0.6302,,1,1,0
full_synthetic_009705,full_synthetic,1,off,0.998739,,0.998739,False,0,0,0,,0.0,0.5283,0.5283,,1,1,0
full_synthetic_009705,full_synthetic,1,coarse,0.998739,0.996028,0.998061,True,4,4,0,0.25,1.8965,0.5283,2.4248,2105.044736,1,1,0
full_synthetic_009705,full_synthetic,1,full,0.998739,0.998504,0.99868,True,12,12,0,0.664062,5.6177,0.5283,6.146,2105.044736,1,1,0
full_synthetic_009705,full_synthetic,1,top_k,0.998739,0.996028,0.998061,True,12,12,0,0.25,5.7494,0.5283,6.2777,2105.044736,1,1,0
full_synthetic_009705,full_synthetic,1,uncertain_only,0.998739,,0.998739,False,0,0,0,,0.0,0.5283,0.5283,,1,1,0
full_synthetic_002872,full_synthetic,1,off,0.999701,,0.999701,False,0,0,0,,0.0,0.5531,0.5531,,1,1,0
full_synthetic_002872,full_synthetic,1,coarse,0.999701,0.989316,0.997105,True,4,4,0,0.25,1.8991,0.5531,2.4522,2105.044736,1,1,0
full_synthetic_002872,full_synthetic,1,full,0.999701,0.998752,0.999464,True,12,12,0,0.664062,5.6547,0.5531,6.2078,2105.044736,1,1,0
full_synthetic_002872,full_synthetic,1,top_k,0.999701,0.991412,0.997629,True,12,12,0,0.25,5.7493,0.5531,6.3024,2105.044736,1,1,0
